Date,Close,High,Low,Open,Volume,returns,volatility,range,momentum_5,day,target
2015-01-30,161.83860778808594,163.35358146215728,159.6869074095528,162.47533449254774,14453148,-0.004456933331756452,0.021932613853091577,3.666674052604492,0.05104803499075383,4,-0.021435369977433116
2015-02-02,158.36953735351562,162.12403494501993,157.82063431894247,161.15796435163517,8820985,-0.021435369977433116,0.02245449557640401,4.303400626077462,0.032050330385382075,0,0.014972869009508338
2015-02-03,160.74078369140625,161.157951216216,158.7208190187693,158.7208190187693,6541497,0.014972869009508338,0.022711368987600136,2.4371321974466866,0.01638195007061105,1,0.004234355023604808
2015-02-04,161.42141723632812,162.69487046396063,160.4333960597992,161.37750541598905,6030862,0.004234355023604808,0.021919329211217763,2.2614744041614188,0.014628649033845864,2,0.00353665792159763
2015-02-05,161.9923095703125,163.39749850385644,159.70887363912826,160.67494429275249,9843219,0.00353665792159763,0.02141802377377545,3.688624864728183,-0.0035114435890951645,3,0.01246937735910203
2015-02-06,164.0122528076172,164.40745920719382,160.76274665325545,160.76274665325545,7606977,0.01246937735910203,0.02089555826416216,3.6447125539383762,0.013430942401441381,4,-0.014993338268500578
2015-02-09,161.55316162109375,164.16594117008952,161.0262197479179,162.98031151764434,7464839,-0.014993338268500578,0.020887801542045628,3.1397214221716183,0.020102504059676507,0,0.0054362917646275655
2015-02-10,162.43141174316406,163.35357047735295,161.11404659623696,161.64099891768765,8320305,0.0054362917646275655,0.020903538560925215,2.2395238811159857,0.01051772930884498,1,0.003379205747618297
2015-02-11,162.9803009033203,163.74876297055434,161.53120040866193,162.9363890834155,4720532,0.003379205747618297,0.02088126971951292,2.2175625618924073,0.009657229466087047,2,-0.00202058275584005
2015-02-12,162.65098571777344,163.3535853979494,160.1260399712864,163.3535853979494,5498120,-0.00202058275584005,0.01913888257705746,3.2275454266629993,0.004066095169629191,3,0.02065322981998685
2015-02-13,166.01025390625,166.5372062023207,162.49727687104263,163.00226803745238,9373648,0.02065322981998685,0.01863104411317151,4.039929331278074,0.01218202338197516,4,0.030551539902761604
2015-02-16,171.08212280273438,171.6968987653534,165.9883095601753,166.16395685298085,12053473,0.030551539902761604,0.019626872338275973,5.7085892051781,0.058983439791725045,0,0.009368591151760253
2015-02-18,172.68492126464844,176.52724235506747,169.06215929183628,169.06215929183628,14195768,0.009368591151760253,0.019572013983651125,7.465083063231191,0.06312516410124647,2,-0.010171617605567618
2015-02-19,170.92843627929688,172.88252806432936,168.44739217916143,172.55318417211498,7249013,-0.010171617605567618,0.018542215091675623,4.435135885167938,0.04876746043493552,3,0.017469344220469862
2015-02-20,173.91444396972656,174.72682827379404,168.77671942165435,170.15994693202074,9275383,0.017469344220469862,0.014164080689966106,5.950108852139692,0.06924924679827704,4,-0.014644413321088678
2015-02-23,171.36756896972656,175.12207713240198,170.92845070158936,173.45340683787958,6077614,-0.014644413321088678,0.014677110326505283,4.193626430812628,0.03227098891434732,0,0.013965591775078057
2015-02-24,173.7608184814453,174.77080110368578,170.66499764466374,172.13605974391842,8556081,0.013965591775078057,0.014637833944481057,4.105803459022042,0.01565736755440894,1,0.010108373247401214
