Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2015-03-03,149.9822998046875,151.7168326118479,148.86254300764242,150.8385856421691,46726874
2015-03-04,151.16793823242188,154.04418913382355,150.57512332049635,151.4972821696696,33411001
2015-03-05,152.04617309570312,153.29767578206085,150.04816937411118,152.37551700661834,21288890
2015-03-09,148.5771026611328,151.4533532377348,148.09406215763636,150.926411347884,16929751
2015-03-10,148.66490173339844,150.48725779124223,147.14992839382032,149.30162829727644,13538973
2015-03-11,148.51121520996094,149.60902114446085,148.22579359971812,149.45533499382213,13191922
2015-03-12,152.22183227539062,152.9244319776442,148.77472760216781,148.88450195583798,28375424
2015-03-13,149.03817749023438,153.69287245988463,147.85254783641403,152.94636103422013,16254309
2015-03-16,147.2816619873047,150.00422591386408,147.10601472193918,149.7407445780178,8926276
2015-03-17,149.30165100097656,149.58708307309828,147.65494196030474,149.0820918831136,11361862
2015-03-18,147.83056640625,149.85053085398775,147.54513437824397,149.85053085398775,9094350
2015-03-19,146.38148498535156,149.67490298449445,145.56911105063486,148.6429594995953,10865286
2015-03-20,143.79066467285156,146.53517983489147,143.32958529060485,146.53517983489147,10980106
2015-03-23,143.76873779296875,144.82263220727046,142.71484337866704,143.30765833434913,11832346
2015-03-24,143.3954620361328,144.82261204566385,143.15394177290744,143.63698229935815,11128170
2015-03-25,143.4832763671875,144.3176114493629,143.15393247287616,144.3176114493629,7528966
2015-03-26,141.5731201171875,144.4493711256007,140.78269672594524,143.15395646187054,25124845
2015-03-27,139.42140197753906,142.82460496414598,138.36750773453434,142.27569149223504,22227555
2015-03-30,143.83456420898438,144.69086038159662,140.3654990106042,140.3654990106042,17152877
2015-03-31,143.08807373046875,144.38347777348505,142.27568931966192,144.38347777348505,12752488
2015-04-01,145.9862823486328,146.22780261465195,142.34156941507396,143.08808090760547,11257250
2015-04-06,149.74078369140625,150.02621579108117,144.5152344306387,144.62500878126698,20059841
2015-04-07,149.5651397705078,150.61903409967348,147.98430349565982,149.7846989145421,10955870
2015-04-08,152.04617309570312,152.3535558749172,149.96034572290714,150.1799048509172,12858493
2015-04-09,152.4413604736328,153.23178367348027,151.0581329211484,152.33158614224774,7962836
2015-04-10,152.22183227539062,152.63899987005985,150.28969092254408,152.37552889589014,5808788
